dog,sex,type_sti,group,trial,sequence,spp_sti,sex_sti,side_con,time_le,time_ri,val_con,matching,condit,index,control,positive,negative,valence
2,male,mirrored,DG,2,1,dog,female,left,16,8,negative,1,test,0.307692308,0.307692308,8,16,-0.307692308
2,male,mirrored,DG,3,2,dog,male,left,11,13,negative,0,test,-0.076923077,-0.076923077,13,11,0.076923077
2,male,mirrored,DG,4,3,dog,female,right,7,16,negative,1,test,0.36,-0.36,7,16,-0.36
2,male,mirrored,DG,5,4,dog,female,,16,8,control,,control,,0.32,16,8,0.32
2,male,mirrored,DG,6,5,dog,male,right,4,15,negative,1,test,0.55,-0.55,4,15,-0.55
2,male,mirrored,DG,7,6,dog,male,right,16,5,positive,0,test,-0.423076923,0.423076923,5,16,-0.423076923
2,male,mirrored,DG,8,7,dog,female,left,9,15,positive,0,test,-0.25,-0.25,9,15,-0.25
2,male,mirrored,DG,9,8,dog,female,right,8,9,positive,1,test,0.055555556,-0.055555556,9,8,0.055555556
2,male,mirrored,DG,10,9,dog,male,,13,2,control,,control,,0.733333333,13,2,0.733333333
2,male,mirrored,DG,12,10,human,female,right,7,3,positive,0,test,-0.25,0.25,3,7,-0.25
2,male,mirrored,DG,13,11,human,male,right,7,6,negative,0,test,-0.0625,0.0625,7,6,0.0625
2,male,mirrored,DG,14,12,human,female,left,5,7,positive,0,test,-0.153846154,-0.153846154,5,7,-0.153846154
2,male,mirrored,DG,15,13,human,male,left,6,13,positive,0,test,-0.318181818,-0.318181818,6,13,-0.318181818
2,male,mirrored,DG,16,14,human,female,,3,0,control,,control,,0.12,3,0,0.12
2,male,mirrored,DG,17,15,human,male,,6,6,control,,control,,0,6,6,0
2,male,mirrored,DG,18,16,human,female,left,3,16,negative,0,test,-0.52,-0.52,16,3,0.52
2,male,mirrored,DG,19,17,human,male,right,6,6,positive,0,test,0,0,6,6,0
2,male,mirrored,DG,20,18,human,female,right,7,10,negative,1,test,0.176470588,-0.176470588,7,10,-0.176470588
4,female,plain,DG,1,19,dog,male,,1,1,control,,control,,0,1,1,0
4,female,plain,DG,3,20,dog,male,right,16,3,negative,0,test,-0.590909091,0.590909091,16,3,0.590909091
4,female,plain,DG,4,21,dog,female,left,2,10,positive,0,test,-0.666666667,-0.666666667,2,10,-0.666666667
4,female,plain,DG,5,22,dog,female,,0,8,control,,control,,-0.888888889,0,8,-0.888888889
