Dog,Sex,Breed,AKC Group,Age,Nueter Status
Ivo,male,Working Sheepdog,Hearding,7,entire
Izzie,female,Bearded Collie,Hearding,3,neutered
Indie,female,Silken Windhound,Sporting,6.5,neutered
Pippin,male,Border Collie,Hearding,5,neutered
Koda,male,Rottweiler,Working,5,entire
Lexi,female,Boxer cross,Working,7.5,neutered
Shadow,male,German Shepherd,Hearding,5,neutered
Lottie,female,German Short Haired Pointer,Sporting,3.5,entire
Pippa,female,German Short Haired Pointer,Sporting,3.5,entire
Pinto,male,Belgian Malinois,Working,4,neutered
Riley,female,Staffordshire terrier x Whippet,Terrier,7,neutered
Rodney,male,Deerhound,Hound,3,neutered
Nellie,female,Cavalier King Charles cross,Toy,3,neutered
Meg,female,Labrador,Sporting,4,neutered
Lud,male,Labrador,Sporting,7.5,entire
Guy,male,Labrador,Sporting,7,entire
Tyke,male,Border Terrier cross,Terrier,2,neutered
